Data set,Block size,Iteration,Dimensions,Vectors,Total time,Total time (normalised),Projected dimensions,Projected vectors,Function time,Function time (normalised),Distance calls,Distance calls (normalised),Pruned,Pruned (normalised)
"ball1",0,1,2,552,9.696,0.985566171986176,200,552,0.060,0.6,296601,0.0619603425898208,713,0.117038739330269
"ball1",1,1,2,552,9.694,0.985362878633869,200,552,0.060,0.6,1999244,0.41764472527282,3478,0.57091267235719
"ball1",10,1,2,552,9.681,0.984041471843871,200,552,0.060,0.6,2189467,0.457382562463064,3819,0.626887721602101
"ball1",15,1,2,552,9.716,0.98759910550925,200,552,0.060,0.6,2380259,0.497239264508563,4156,0.68220617202889
"ball1",30,1,2,552,9.719,0.987904045537711,200,552,0.060,0.6,2573277,0.537560980908717,4489,0.736868023637557
"ball1",40,1,2,552,9.730,0.989022158975402,200,552,0.060,0.6,2769794,0.578613643053227,4816,0.790544977019041
"ball1",45,1,2,552,9.723,0.988310632242326,200,552,0.060,0.6,2965545,0.619506286780996,5145,0.844550229809586
"ball1",60,1,2,552,9.737,0.989733685708477,200,552,0.070,0.7,3163072,0.660769939266117,5470,0.897898883782009
"ball1",90,1,2,552,9.754,0.99146167920309,200,552,0.070,0.7,3364944,0.702941268018523,5787,0.949934340118188
"ball1",100,1,2,552,9.757,0.991766619231551,200,552,0.080,0.8,3570341,0.745848973949796,6092,1
"ball1",1000,1,2,552,9.804,0.996544013010775,200,552,0.090,0.9,3874493,0.809386730462347,6092,1
"ball1",10000,1,2,552,9.806,0.996747306363082,200,552,0.100,1,4178645,0.872924486974898,6092,1
"ball1",100000,1,2,552,9.835,0.999695059971539,200,552,0.100,1,4482797,0.936462243487449,6092,1
"ball1",1000000,1,2,552,9.838,1,200,552,0.100,1,4786949,1,6092,1
"connect4",0,1,43,67557,5474.876,0.90189826291284,200,67557,18.599,0.105889720743545,86517048,0.0516071201802615,67136,0.092258812794424
"connect4",1,1,43,67557,5344.262,0.880381695284258,200,67557,30.245,0.172193913860343,86517048,0.0516071201802615,67136,0.092258812794424
"connect4",10,1,43,67557,5182.546,0.853741570560847,200,67557,25.961,0.147803808818925,173563226,0.103529864577163,134265,0.184508006134463
"connect4",15,1,43,67557,5151.184,0.848575182624121,200,67557,25.628,0.145907939309402,260737986,0.155529307692761,201392,0.276754451058965
"connect4",30,1,43,67557,5309.733,0.874693594746435,200,67557,25.828,0.147046599675482,348815728,0.208067376451187,268506,0.368983031282466
"connect4",40,1,43,67557,5315.080,0.875574427483431,200,67557,25.976,0.14788920834638,437811751,0.261153196653077,335603,0.46118824997389
"connect4",45,1,43,67557,5336.526,0.879107313003839,200,67557,26.150,0.148879842864869,526712479,0.314182173716751,402702,0.553396217080853
