Profile,Data set,Iteration,Function name,Calls,Calls (relative),Self time,Self time (relative),Proportion,Proportion (relative)
"TopN_Outlier_Pruning_Block_NO_BLOCKING","ball1","average","add_neighbour",188278,0.499452209598137,0.00666666666666667,0.0217391304347824,2.15333333333333,0.0215139707596496
"TopN_Outlier_Pruning_Block_NO_BLOCKING","ball1","average","best_outliers",204,0.000541158556804406,0,0,0,0
"TopN_Outlier_Pruning_Block_NO_BLOCKING","ball1","average","distance_squared",188278,0.499452209598137,0.296666666666667,0.967391304347816,96.86,0.967729043860525
"TopN_Outlier_Pruning_Block_NO_BLOCKING","ball1","average","merge",204,0.000541158556804406,0,0,0,0
"TopN_Outlier_Pruning_Block_NO_BLOCKING","ball1","average","read_vardump",1,2.65273802355101e-06,0,0,0,0
"TopN_Outlier_Pruning_Block_NO_BLOCKING","ball1","average","set_num_vectors",2,5.30547604710202e-06,0,0,0,0
"TopN_Outlier_Pruning_Block_NO_BLOCKING","ball1","average","test",1,2.65273802355101e-06,0,0,0,0
"TopN_Outlier_Pruning_Block_NO_BLOCKING","ball1","average","top_n_outlier_pruning_block",1,2.65273802355101e-06,0.00333333333333333,0.0108695652173912,1.07666666666667,0.0107569853798248
"TopN_Outlier_Pruning_Block_SORTED","ball1","average","add_neighbour",196517,0.499940215884258,0.00333333333333333,0.010204081632653,1.04333333333333,0.0104249933386624
"TopN_Outlier_Pruning_Block_SORTED","ball1","average","best_outliers",14,3.56160689527095e-05,0,0,0,0
"TopN_Outlier_Pruning_Block_SORTED","ball1","average","distance_squared",196517,0.499940215884258,0.323333333333333,0.989795918367337,99.0366666666667,0.989575006661338
"TopN_Outlier_Pruning_Block_SORTED","ball1","average","merge",14,3.56160689527095e-05,0,0,0,0
"TopN_Outlier_Pruning_Block_SORTED","ball1","average","read_vardump",1,2.54400492519354e-06,0,0,0,0
"TopN_Outlier_Pruning_Block_SORTED","ball1","average","set_num_vectors",2,5.08800985038707e-06,0,0,0,0
"TopN_Outlier_Pruning_Block_SORTED","ball1","average","sort_block_scores_descending",14,3.56160689527095e-05,0,0,0,0
"TopN_Outlier_Pruning_Block_SORTED","ball1","average","test",1,2.54400492519354e-06,0,0,0,0
"TopN_Outlier_Pruning_Block_SORTED","ball1","average","top_n_outlier_pruning_block",1,2.54400492519354e-06,0,0,0,0
"TopN_Outlier_Pruning_Block_UNSORTED","ball1","average","add_neighbour",196517,0.499940215884258,0.03,0.0891089108910882,8.87,0.0886261448792673
"TopN_Outlier_Pruning_Block_UNSORTED","ball1","average","best_outliers",14,3.56160689527095e-05,0,0,0,0
"TopN_Outlier_Pruning_Block_UNSORTED","ball1","average","distance_squared",196517,0.499940215884258,0.3,0.891089108910882,89.25,0.891756869275604
"TopN_Outlier_Pruning_Block_UNSORTED","ball1","average","merge",14,3.56160689527095e-05,0,0,0,0
"TopN_Outlier_Pruning_Block_UNSORTED","ball1","average","read_vardump",1,2.54400492519354e-06,0,0,0,0
"TopN_Outlier_Pruning_Block_UNSORTED","ball1","average","set_num_vectors",2,5.08800985038707e-06,0,0,0,0
"TopN_Outlier_Pruning_Block_UNSORTED","ball1","average","sort_block_scores_descending",14,3.56160689527095e-05,0,0,0,0
"TopN_Outlier_Pruning_Block_UNSORTED","ball1","average","test",1,2.54400492519354e-06,0,0,0,0
"TopN_Outlier_Pruning_Block_UNSORTED","ball1","average","top_n_outlier_pruning_block",1,2.54400492519354e-06,0.00666666666666667,0.0198019801980196,1.96333333333333,0.0196169858451291
"TopN_Outlier_Pruning_Block_NO_BLOCKING","connect4","average","add_neighbour",86517048,0.49999755251747,1.4,0.00953180673127113,0.953333333333333,0.00952507826550323
"TopN_Outlier_Pruning_Block_NO_BLOCKING","connect4","average","best_outliers",421,2.43303458076673e-06,0.0266666666666667,0.000181558223452783,0.0166666666666667,0.000166522347299008
"TopN_Outlier_Pruning_Block_NO_BLOCKING","connect4","average","distance_squared",86517048,0.49999755251747,144.3,0.982456936658875,98.3366666666667,0.982515153533604
"TopN_Outlier_Pruning_Block_NO_BLOCKING","connect4","average","merge",421,2.43303458076673e-06,0,0,0,0
"TopN_Outlier_Pruning_Block_NO_BLOCKING","connect4","average","read_vardump",1,5.77917952676183e-09,0,0,0,0
"TopN_Outlier_Pruning_Block_NO_BLOCKING","connect4","average","set_num_vectors",2,1.15583590535237e-08,0.08,0.00054467467035835,0.0533333333333333,0.000532871511356824
"TopN_Outlier_Pruning_Block_NO_BLOCKING","connect4","average","test",1,5.77917952676183e-09,0,0,0,0
"TopN_Outlier_Pruning_Block_NO_BLOCKING","connect4","average","top_n_outlier_pruning_block",1,5.77917952676183e-09,1.07,0.00728502371604294,0.726666666666667,0.00726037434223673
"TopN_Outlier_Pruning_Block_SORTED","connect4","average","add_neighbour",88996023,0.499985752578309,1.10666666666667,0.00631971675486352,0.633333333333333,0.00632805995004163
"TopN_Outlier_Pruning_Block_SORTED","connect4","average","best_outliers",1689,9.4889176801166e-06,0.0233333333333333,0.000133247040012183,0.0133333333333333,0.000133222314737719
"TopN_Outlier_Pruning_Block_SORTED","connect4","average","distance_squared",88996023,0.499985752578309,145.746666666667,0.832299082498953,83.3,0.832306411323897
"TopN_Outlier_Pruning_Block_SORTED","connect4","average","merge",1689,9.4889176801166e-06,0,0,0,0
"TopN_Outlier_Pruning_Block_SORTED","connect4","average","read_vardump",1,5.61806849029994e-09,0,0,0,0
"TopN_Outlier_Pruning_Block_SORTED","connect4","average","set_num_vectors",2,1.12361369805999e-08,0.0666666666666667,0.000380705828606236,0.0366666666666667,0.000366361365528726
"TopN_Outlier_Pruning_Block_SORTED","connect4","average","sort_block_scores_descending",1689,9.4889176801166e-06,0.00333333333333333,1.90352914303118e-05,0,0
