"Function","average","connect4.csv","musk.csv","pendigits.csv","spam.csv","testCD.txt","testCDST.txt","testCDST2.txt","testCDST3.txt","testoutrank.txt"
"...-4.0.1/private/get_matlab_bgl_options",0,0,0,0,0,0,0,0,0,0
"...aly>TopN_Outlier_Pruning_Block_CTD_ST",0.0255555555555556,0.113666666666667,0.019,0.0393333333333333,0.009,0.00533333333333333,0.006,0.00633333333333333,0.0313333333333333,0
"...d>create@(b)mx_d_preconditioner(sH,b)",0,0,0,0,0,0,0,0,0,0
"...istance_anomaly>knn_components_sparse",275.264962962963,2338.18533333333,30.7633333333333,81.3263333333333,15.1423333333333,0.634,3.47733333333333,3.70333333333333,3.66033333333333,0.492333333333333
"...stance_anomaly>connect_components_MST",0.0446296296296296,0.316666666666667,0.0126666666666667,0.017,0.044,0.00533333333333333,0,0.003,0.003,0
"...stance_anomaly>connect_components_mix",0.0601111111111111,0.484,0.00966666666666667,0.0196666666666667,0.0186666666666667,0,0.003,0.003,0.003,0
"PCADR",0.001,0.00266666666666667,0.00333333333333333,0,0.003,0,0,0,0,0
"TopN_Outlier_Pruning_Block (MEX-file)",122.821888888889,1024.36166666667,14.6153333333333,42.7543333333333,20.5463333333333,0.138666666666667,0.974,0.981,0.977,0.0486666666666667
"adjacency_cmg (MEX-file)",0.00181481481481481,0.0106666666666667,0,0.00566666666666667,0,0,0,0,0,0
"approx_resistance",0.216666666666667,1.20833333333333,0.161333333333333,0.229333333333333,0.104,0.0326666666666667,0.0776666666666667,0.047,0.0593333333333333,0.0303333333333333
"axescheck",0,0,0,0,0,0,0,0,0,0
"axis",0.000333333333333333,0,0,0,0.003,0,0,0,0,0
"axis>LocSetEqual",0.000592592592592593,0,0,0.00266666666666667,0,0.00266666666666667,0,0,0,0
"axis>allAxes",0,0,0,0,0,0,0,0,0,0
"cell.ismember",0.00192592592592593,0.00266666666666667,0,0,0.006,0.00266666666666667,0,0.003,0.003,0
"cell.ismember>cellismemberlegacy",0.00562962962962963,0.00266666666666667,0.00666666666666667,0.00833333333333333,0.006,0.00266666666666667,0.009,0.00633333333333333,0.006,0.003
"cell.strcat",0,0,0,0,0,0,0,0,0,0
"cellstr",0,0,0,0,0,0,0,0,0,0
"cholGsparse",0.0622962962962963,0.124,0.0483333333333333,0.0483333333333333,0.0726666666666667,0.063,0.0376666666666667,0.0406666666666667,0.0343333333333333,0.0916666666666667
"cmg_dd",0.00140740740740741,0,0.00666666666666667,0,0,0,0,0.006,0,0
"cmg_dd>@(b)mx_d_preconditioner(sH,b)",0.375555555555556,0.949666666666667,0.225333333333333,0.297,0.160666666666667,0.201666666666667,0.251666666666667,0.179,0.206666666666667,0.908333333333333
"cmg_sdd",0.00177777777777778,0.016,0,0,0,0,0,0,0,0
