Data set,Iteration,Function Name,Calls,Total Time,Self Time
"connect4.csv","average","...-4.0.1/private/get_matlab_bgl_options",2,0,0
"connect4.csv","average","...aly>TopN_Outlier_Pruning_Block_CTD_ST",1,57478.0914,0.1889
"connect4.csv","average","...ce_anomaly>TopN_Outlier_Pruning_Block",1,57350.5019,54979.1754
"connect4.csv","average","...d>create@(b)mx_d_preconditioner(sH,b)",1,0,0
"connect4.csv","average","...istance_anomaly>knn_components_sparse",1,4361.8605,2878.7034
"connect4.csv","average","...stance_anomaly>connect_components_MST",1,95.1198,0.3289
"connect4.csv","average","...stance_anomaly>connect_components_mix",1,95.7344,0.5854
"connect4.csv","average","PCADR",1,0.4817,0.001
"connect4.csv","average","adjacency_cmg (MEX-file)",11,0.0138,0.0138
"connect4.csv","average","approx_resistance",1,127.4004,1.4654
"connect4.csv","average","axescheck",2,0,0
"connect4.csv","average","axis",1,0,0
"connect4.csv","average","axis>LocSetEqual",1,0,0
"connect4.csv","average","axis>allAxes",1,0,0
"connect4.csv","average","cell.ismember",1,0.0206,0.005
"connect4.csv","average","cell.ismember>cellismemberlegacy",1,0.0157,0.0089
"connect4.csv","average","cell.strcat",1,0.002,0.002
"connect4.csv","average","cellstr",1,0,0
"connect4.csv","average","cholGsparse",1,0.1777,0.1777
"connect4.csv","average","cmg_dd",1,0.4751,0.009
"connect4.csv","average","cmg_dd>@(b)mx_d_preconditioner(sH,b)",6683.6,50.7,0.9982
"connect4.csv","average","cmg_sdd",1,0.4868,0.0119
"connect4.csv","average","commute_distance_anomaly",1,62265.3744,0.009
"connect4.csv","average","commute_distance_anomaly>dist",92033917.8,2412.4625,2412.4625
"connect4.csv","average","commute_distance_anomaly>drawGraph",1,328.2946,110.0349
"connect4.csv","average","commute_distance_anomaly>euclidean",1,92.333,57.3068
"connect4.csv","average","commute_distance_anomaly>sim",675570,52.8013,41.5966
"connect4.csv","average","commute_distance_anomaly>sim_d",2092,0.1804,0.1804
"connect4.csv","average","components",1,0.0291,0.009
"connect4.csv","average","csvread",1,0.8672,0
"connect4.csv","average","csvwrite",1,0.0332,0
"connect4.csv","average","dlmread",1,0.8672,0.8488
"connect4.csv","average","dlmwrite",1,0.0332,0.0128
"connect4.csv","average","dlmwrite>parseinput",1,0.0206,0
"connect4.csv","average","dlmwrite>setcoffset",1,0,0
"connect4.csv","average","dlmwrite>setdlm",1,0,0
"connect4.csv","average","dlmwrite>setroffset",1,0,0
"connect4.csv","average","effective_degrees",6,0.0059,0.0059
"connect4.csv","average","fcnchk",400,0.3542,0.2684
"connect4.csv","average","forest_components (MEX-file)",6,0,0
"connect4.csv","average","graph2d/private/lineseriesmex (MEX-file)",229041,1.9124,1.9124
"connect4.csv","average","graph2dhelper",229041,40.2508,23.3967
"connect4.csv","average","graphprofile (MEX-file)",6,0.002,0.002
"connect4.csv","average","hierarchy",1,0.4117,0.1755
"connect4.csv","average","hold",2,0.003,0.003
"connect4.csv","average","initprintexporttemplate",1,0.001,0.001
"connect4.csv","average","int2str",2,0.001,0.001
"connect4.csv","average","inv_permutation",1,0,0
"connect4.csv","average","iscellstr",2,0.001,0.001
"connect4.csv","average","ismember",2,0.007,0.002
"connect4.csv","average","ismember>ismemberlegacy",2,0.005,0.003
"connect4.csv","average","kdtree_build (MEX-file)",1,4.9264,4.9264
"connect4.csv","average","kdtree_k_nearest_neighbors (MEX-file)",67557,1425.2036,1425.2036
"connect4.csv","average","laplacian2 (MEX-file)",1,0.006,0.006
"connect4.csv","average","lineseries",229041,79.2798,37.1165
